gpuaddr,useraddr,size,id,flags,type,usage,sglen
0x8c6b8000,0x8c6b8000,4096,50025,----pY,gpumem,texture,1
0x8c6ba000,0x8c6ba000,4096,50024,----pY,gpumem,texture,1
0x8c6bc000,0x8c6bc000,4096,50023,----pY,gpumem,texture,1
0x8c6be000,0x8c6be000,4096,50022,----pY,gpumem,texture,1
0x8c700000,0x8c700000,4096,50021,----pY,gpumem,texture,1
0x8c702000,0x8c702000,4096,50020,----pY,gpumem,texture,1
0x8c704000,0x8c704000,4096,50019,----pY,gpumem,texture,1
0x8c706000,0x8c706000,4096,50018,----pY,gpumem,texture,1
0x8c708000,0x8c708000,4096,50017,----pY,gpumem,texture,1
0x8c70a000,0x8c70a000,4096,50016,----pY,gpumem,texture,1
0x8c70c000,0x8c70c000,4096,50015,----pY,gpumem,texture,1
0x8c70e000,0x8c70e000,4096,50014,----pY,gpumem,texture,1
0x8c710000,0x8c710000,4096,50013,----pY,gpumem,texture,1
0x8c712000,0x8c712000,4096,50012,----pY,gpumem,texture,1
0x8c714000,0x8c714000,4096,50011,----pY,gpumem,texture,1
0x8c716000,0x8c716000,4096,50010,----pY,gpumem,texture,1
0x8c718000,0x8c718000,4096,50009,----pY,gpumem,texture,1
0x8c71a000,0x8c71a000,4096,50008,----pY,gpumem,texture,1
0x8c71c000,0x8c71c000,4096,50007,----pY,gpumem,texture,1
0x8c71e000,0x8c71e000,4096,50006,----pY,gpumem,texture,1
0x8c720000,0x8c720000,4096,50005,----pY,gpumem,texture,1
0x8c722000,0x8c722000,4096,50004,----pY,gpumem,texture,1
0x8c724000,0x8c724000,4096,50003,----pY,gpumem,texture,1
0x8c726000,0x8c726000,4096,50002,----pY,gpumem,texture,1
0x8c728000,0x8c728000,4096,50001,----pY,gpumem,texture,1
0x8c72a000,0x8c72a000,4096,50000,----pY,gpumem,texture,1
0x8c72c000,0x8c72c000,4096,49999,----pY,gpumem,texture,1
0x8c72e000,0x8c72e000,4096,49998,----pY,gpumem,texture,1
